dummy,CAZ,CHA,EUR,IND,LAM,MEA,NEU,OAS,REF,SSA,USA
y1995,0.97,1.17,1.47,0.89,1.0366,0.7731,0.9,0.83,0.8,0.6827,1.25
y2000,1.0319,1.17,1.4718,0.892,1.106,0.9014,0.9,0.8893,0.8,0.7119,1.3168
y2005,1.0319,1.182,1.5039,0.9053,1.1821,1.1854,0.9495,0.9795,0.9288,0.7794,1.3655
y2010,1.039,1.2333,1.5039,0.9577,1.2815,1.1962,1.0561,1.0401,0.9288,0.8265,1.4011
y2015,1.1291,1.3306,1.5669,1.0572,1.3436,1.3772,1.2399,1.1328,0.9721,0.8651,1.4926
y2020,1.1724,1.4435,1.6998,1.1427,1.3954,1.5678,1.3694,1.1976,1.0005,0.8996,1.5512
y2025,1.2345,1.5338,1.8025,1.2303,1.4421,1.8312,1.4912,1.2841,1.0528,0.9363,1.5933
y2030,1.2806,1.5948,1.9156,1.3282,1.4801,2.1121,1.6111,1.3783,1.0791,0.9803,1.64
y2035,1.3596,1.6722,1.976,1.4671,1.5351,2.4045,1.6912,1.4737,1.158,1.0718,1.6506
y2040,1.4268,1.7652,2.0203,1.6165,1.5811,2.6418,1.7607,1.5536,1.2192,1.1509,1.6506
y2045,1.4812,1.7821,2.0534,1.7883,1.6191,2.8752,1.8132,1.6436,1.2663,1.2152,1.6704
y2050,1.5492,1.7835,2.0861,1.9315,1.6485,3.083,1.8582,1.7186,1.3409,1.3258,1.7052
y2055,1.5848,1.7835,2.1085,2.0284,1.6758,3.2743,1.898,1.7958,1.3612,1.4246,1.7268
y2060,1.6103,1.7835,2.12,2.0919,1.6857,3.4467,1.9279,1.8944,1.3841,1.5246,1.735
y2070,1.63,1.7835,2.2033,2.1918,1.6961,3.6555,2.0302,1.9745,1.3982,1.6774,1.7511
y2080,1.6423,1.7835,2.2293,2.3423,1.7017,3.781,2.0785,2.0417,1.3982,1.8037,1.7511
y2090,1.6511,1.7835,2.2452,2.441,1.7017,3.7965,2.0785,2.0603,1.3982,1.8618,1.7584
y2100,1.6583,1.7835,2.2452,2.4743,1.7017,3.8416,2.0785,2.0603,1.3982,1.8857,1.7584
