dummy,CAZ,CHA,EUR,IND,LAM,MEA,NEU,OAS,REF,SSA,USA
y1995,1.0385,1.203,1.6029,0.9069,1.0312,0.7731,0.9735,0.879,0.8,0.6801,1.2633
y2000,1.1616,1.3352,1.7101,0.9618,1.1131,0.9014,1.0255,0.9354,0.8,0.709,1.3879
y2005,1.1616,1.482,1.7628,1.0097,1.2127,1.1854,1.1315,1.0032,0.929,0.777,1.4937
y2010,1.2289,1.7619,1.8024,1.1329,1.321,1.1962,1.1861,1.051,0.929,0.8268,1.5443
y2015,1.3705,1.9445,1.9872,1.2401,1.3879,1.3812,1.3037,1.1273,0.9742,0.8618,1.7057
y2020,1.485,2.3276,2.1959,1.3861,1.4519,1.6444,1.4099,1.1906,1.0058,0.9057,1.854
y2025,1.5461,2.5846,2.3387,1.5683,1.4959,1.911,1.5195,1.2654,1.0689,0.9554,1.9361
y2030,1.5948,2.8079,2.4917,1.7607,1.5507,2.2132,1.6295,1.3507,1.1546,1.0175,2.0077
y2035,1.6546,2.8203,2.6164,1.9911,1.6114,2.5033,1.7431,1.4777,1.2132,1.0904,2.0405
y2040,1.6749,2.8251,2.7384,2.1343,1.6423,2.756,1.8154,1.5716,1.2481,1.1615,2.0747
y2045,1.7192,2.8606,2.8565,2.3652,1.6817,2.9773,1.829,1.6838,1.2838,1.253,2.0959
y2050,1.7524,2.8691,2.961,2.5978,1.7149,3.1956,1.87,1.7663,1.3415,1.3444,2.1034
y2055,1.7588,2.8825,3.05,2.757,1.7296,3.3568,1.8832,1.8251,1.3606,1.4408,2.1034
y2060,1.7799,2.8825,3.1179,2.9115,1.7445,3.4849,1.9157,1.8904,1.373,1.5352,2.1288
y2070,1.8631,2.8825,3.1711,3.2118,1.7455,3.7134,1.9398,1.9497,1.3822,1.7174,2.1831
y2080,1.9302,2.8825,3.214,3.4717,1.7455,3.8065,1.9398,1.9863,1.3822,1.8265,2.2149
y2090,1.9598,2.8825,3.2526,3.7242,1.7455,3.8065,1.9398,1.9863,1.3822,1.8737,2.251
y2100,1.991,2.8825,3.2526,3.8006,1.7455,3.8482,1.9398,1.9863,1.3822,1.8899,2.2596
